datetime,temperature_2m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
2023-01-01T00:00,5.6,5.7,0.175,0.211
2023-01-01T01:00,5.7,5.8,0.175,0.211
2023-01-01T02:00,5.2,5.7,0.176,0.211
2023-01-01T03:00,5.1,5.7,0.177,0.211
2023-01-01T04:00,5.1,5.6,0.178,0.211
2023-01-01T05:00,4.9,5.5,0.178,0.211
2023-01-01T06:00,4.9,5.4,0.178,0.211
2023-01-01T07:00,4.6,5.3,0.179,0.211
2023-01-01T08:00,5.0,6.2,0.175,0.21
2023-01-01T09:00,5.8,6.3,0.175,0.21
2023-01-01T10:00,7.1,7.1,0.175,0.21
2023-01-01T11:00,7.6,7.5,0.175,0.21
2023-01-01T12:00,8.1,7.9,0.175,0.21
2023-01-01T13:00,8.4,8.3,0.176,0.21
2023-01-01T14:00,8.4,8.4,0.176,0.21
2023-01-01T15:00,8.6,8.6,0.176,0.21
2023-01-01T16:00,8.6,8.6,0.177,0.21
2023-01-01T17:00,7.9,8.3,0.177,0.21
2023-01-01T18:00,7.1,7.8,0.177,0.21
2023-01-01T19:00,6.8,7.4,0.177,0.21
2023-01-01T20:00,7.8,9.0,0.173,0.207
2023-01-01T21:00,7.7,8.6,0.173,0.207
2023-01-01T22:00,7.3,8.2,0.173,0.207
2023-01-01T23:00,7.2,7.9,0.173,0.207
2023-01-02T00:00,7.1,7.8,0.173,0.207
2023-01-02T01:00,6.7,7.6,0.173,0.207
2023-01-02T02:00,6.7,7.4,0.173,0.207
2023-01-02T03:00,6.6,7.3,0.173,0.207
2023-01-02T04:00,6.4,7.2,0.173,0.207
2023-01-02T05:00,6.1,7.1,0.173,0.207
2023-01-02T06:00,5.7,6.9,0.173,0.207
2023-01-02T07:00,5.5,6.8,0.173,0.207
2023-01-02T08:00,5.9,7.6,0.169,0.205
2023-01-02T09:00,6.3,7.6,0.169,0.205
2023-01-02T10:00,6.8,7.8,0.169,0.205
2023-01-02T11:00,8.2,8.9,0.169,0.205
2023-01-02T12:00,9.4,10.4,0.168,0.205
2023-01-02T13:00,10.3,11.7,0.168,0.205
2023-01-02T14:00,10.6,12.4,0.168,0.205
2023-01-02T15:00,10.9,12.9,0.168,0.204
2023-01-02T16:00,10.6,12.7,0.168,0.204
2023-01-02T17:00,9.8,11.9,0.168,0.204
2023-01-02T18:00,7.0,10.4,0.168,0.204
2023-01-02T19:00,5.9,9.2,0.168,0.204
2023-01-02T20:00,6.4,9.3,0.169,0.205
2023-01-02T21:00,6.9,8.9,0.17,0.205
2023-01-02T22:00,6.8,8.5,0.17,0.205
2023-01-02T23:00,6.7,8.1,0.17,0.205
2023-01-03T00:00,6.2,7.8,0.17,0.205
2023-01-03T01:00,5.6,7.5,0.17,0.205
2023-01-03T02:00,3.3,6.7,0.17,0.205
2023-01-03T03:00,2.8,6.0,0.17,0.205
2023-01-03T04:00,2.2,5.3,0.17,0.205
2023-01-03T05:00,2.1,4.9,0.17,0.205
2023-01-03T06:00,1.7,4.5,0.17,0.205
2023-01-03T07:00,0.8,4.1,0.17,0.205
2023-01-03T08:00,2.0,3.7,0.169,0.205
2023-01-03T09:00,3.9,4.6,0.169,0.205
2023-01-03T10:00,5.7,6.4,0.169,0.205
2023-01-03T11:00,7.6,8.6,0.169,0.204
2023-01-03T12:00,9.1,10.8,0.169,0.204
2023-01-03T13:00,10.1,12.5,0.168,0.204
2023-01-03T14:00,10.5,13.6,0.168,0.204
2023-01-03T15:00,10.6,13.9,0.168,0.204
2023-01-03T16:00,10.6,13.6,0.168,0.204
2023-01-03T17:00,10.1,12.4,0.168,0.204
2023-01-03T18:00,9.6,10.6,0.168,0.204
2023-01-03T19:00,6.5,9.1,0.168,0.204
2023-01-03T20:00,5.8,8.8,0.17,0.205
2023-01-03T21:00,5.3,7.7,0.17,0.205
2023-01-03T22:00,4.0,6.8,0.17,0.205
2023-01-03T23:00,4.2,6.1,0.17,0.205
2023-01-04T00:00,4.3,5.7,0.17,0.205
2023-01-04T01:00,3.8,5.4,0.17,0.205
2023-01-04T02:00,3.0,5.0,0.17,0.205
2023-01-04T03:00,3.0,4.6,0.17,0.205
2023-01-04T04:00,3.2,4.4,0.17,0.205
2023-01-04T05:00,3.0,4.2,0.17,0.205
2023-01-04T06:00,2.7,4.1,0.17,0.205
2023-01-04T07:00,2.2,3.8,0.17,0.205
2023-01-04T08:00,3.3,3.7,0.17,0.204
2023-01-04T09:00,5.1,4.7,0.17,0.204
2023-01-04T10:00,7.1,6.4,0.17,0.204
2023-01-04T11:00,9.0,8.5,0.169,0.204
2023-01-04T12:00,10.5,10.6,0.169,0.204
2023-01-04T13:00,11.4,12.2,0.169,0.204
2023-01-04T14:00,12.1,13.4,0.169,0.204
2023-01-04T15:00,12.3,13.9,0.168,0.204
2023-01-04T16:00,12.1,13.7,0.168,0.204
2023-01-04T17:00,10.6,12.7,0.168,0.204
2023-01-04T18:00,8.3,10.9,0.168,0.204
2023-01-04T19:00,6.8,9.6,0.168,0.204
2023-01-04T20:00,7.6,10.4,0.167,0.203
2023-01-04T21:00,9.1,9.9,0.167,0.202
2023-01-04T22:00,8.8,9.6,0.167,0.202
2023-01-04T23:00,8.7,9.3,0.167,0.202
2023-01-05T00:00,8.4,9.1,0.167,0.202
2023-01-05T01:00,7.9,8.8,0.167,0.202
2023-01-05T02:00,8.0,8.6,0.167,0.202
2023-01-05T03:00,7.8,8.5,0.168,0.202
2023-01-05T04:00,7.4,8.3,0.168,0.202
2023-01-05T05:00,7.4,8.2,0.168,0.202
2023-01-05T06:00,7.3,8.1,0.168,0.202
2023-01-05T07:00,7.3,8.1,0.168,0.202
2023-01-05T08:00,7.4,9.3,0.16,0.196
2023-01-05T09:00,8.4,9.3,0.16,0.196
2023-01-05T10:00,9.5,9.9,0.16,0.196
2023-01-05T11:00,10.6,11.0,0.16,0.196
2023-01-05T12:00,11.3,11.9,0.16,0.196
2023-01-05T13:00,12.4,12.9,0.16,0.195
2023-01-05T14:00,13.0,13.6,0.16,0.195
2023-01-05T15:00,12.9,13.3,0.16,0.195
2023-01-05T16:00,12.4,12.8,0.16,0.195
2023-01-05T17:00,11.8,12.2,0.159,0.195
2023-01-05T18:00,10.9,11.6,0.159,0.195
2023-01-05T19:00,10.1,10.9,0.159,0.195
2023-01-05T20:00,9.2,9.9,0.163,0.197
2023-01-05T21:00,9.1,9.7,0.163,0.197
2023-01-05T22:00,8.6,9.4,0.163,0.197
2023-01-05T23:00,8.0,9.0,0.163,0.197
2023-01-06T00:00,6.2,8.3,0.163,0.197
2023-01-06T01:00,4.9,7.6,0.163,0.197
2023-01-06T02:00,4.3,6.9,0.163,0.197
2023-01-06T03:00,4.0,6.3,0.163,0.197
2023-01-06T04:00,3.6,5.9,0.163,0.197
2023-01-06T05:00,2.7,5.4,0.163,0.197
2023-01-06T06:00,2.5,4.9,0.163,0.197
2023-01-06T07:00,2.0,4.6,0.163,0.197
2023-01-06T08:00,3.8,4.2,0.164,0.198
2023-01-06T09:00,5.8,5.3,0.164,0.197
2023-01-06T10:00,8.2,7.2,0.164,0.197
2023-01-06T11:00,10.9,9.3,0.164,0.197
2023-01-06T12:00,13.1,11.5,0.163,0.197
2023-01-06T13:00,14.9,13.4,0.163,0.197
2023-01-06T14:00,16.0,14.8,0.163,0.197
2023-01-06T15:00,16.4,15.5,0.163,0.197
2023-01-06T16:00,16.2,15.4,0.162,0.197
2023-01-06T17:00,13.9,14.4,0.162,0.197
2023-01-06T18:00,10.1,12.6,0.162,0.197
2023-01-06T19:00,9.2,11.1,0.162,0.197
2023-01-06T20:00,8.6,12.1,0.159,0.194
2023-01-06T21:00,8.6,10.9,0.159,0.194
2023-01-06T22:00,8.1,9.9,0.159,0.194
2023-01-06T23:00,7.3,9.0,0.159,0.194
2023-01-07T00:00,6.1,8.2,0.159,0.194
2023-01-07T01:00,5.2,7.5,0.159,0.194
2023-01-07T02:00,4.9,6.9,0.159,0.194
2023-01-07T03:00,4.3,6.3,0.159,0.194
2023-01-07T04:00,4.7,5.8,0.159,0.194
2023-01-07T05:00,4.0,5.4,0.159,0.194
2023-01-07T06:00,3.5,5.1,0.159,0.194
2023-01-07T07:00,3.3,4.8,0.159,0.194
2023-01-07T08:00,4.7,4.5,0.159,0.194
2023-01-07T09:00,7.1,5.7,0.159,0.194
2023-01-07T10:00,9.6,7.8,0.159,0.194
2023-01-07T11:00,12.2,10.2,0.159,0.194
2023-01-07T12:00,14.4,12.6,0.159,0.194
2023-01-07T13:00,16.0,14.6,0.158,0.193
2023-01-07T14:00,17.0,15.9,0.158,0.193
2023-01-07T15:00,17.6,16.7,0.158,0.193
2023-01-07T16:00,17.6,16.6,0.158,0.193
2023-01-07T17:00,15.2,15.6,0.158,0.193
2023-01-07T18:00,12.0,13.9,0.158,0.193
2023-01-07T19:00,10.7,12.4,0.158,0.193
2023-01-07T20:00,10.3,13.9,0.148,0.186
2023-01-07T21:00,10.3,12.4,0.148,0.186
2023-01-07T22:00,9.4,11.2,0.148,0.186
2023-01-07T23:00,8.8,10.3,0.148,0.186
2023-01-08T00:00,7.7,9.4,0.148,0.186
2023-01-08T01:00,6.7,8.6,0.148,0.186
2023-01-08T02:00,5.7,7.9,0.148,0.186
2023-01-08T03:00,5.1,7.2,0.148,0.186
2023-01-08T04:00,4.9,6.7,0.148,0.186
2023-01-08T05:00,5.2,6.4,0.148,0.186
2023-01-08T06:00,4.9,6.2,0.149,0.186
2023-01-08T07:00,4.8,5.9,0.149,0.186
2023-01-08T08:00,5.8,5.6,0.149,0.186
2023-01-08T09:00,7.7,6.7,0.149,0.186
2023-01-08T10:00,10.2,8.8,0.149,0.186
2023-01-08T11:00,13.1,11.4,0.148,0.186
2023-01-08T12:00,15.6,13.9,0.148,0.185
2023-01-08T13:00,17.2,16.1,0.148,0.185
2023-01-08T14:00,18.4,17.8,0.148,0.185
2023-01-08T15:00,18.9,18.5,0.148,0.185
2023-01-08T16:00,18.8,18.4,0.148,0.185
2023-01-08T17:00,16.0,17.1,0.148,0.185
2023-01-08T18:00,12.8,15.1,0.148,0.185
2023-01-08T19:00,11.6,13.5,0.148,0.185
2023-01-08T20:00,10.9,14.4,0.137,0.177
2023-01-08T21:00,10.2,12.9,0.137,0.177
2023-01-08T22:00,9.1,11.7,0.137,0.177
2023-01-08T23:00,8.6,10.7,0.137,0.177
